bg_pair,o_bg,d_bg,lat_dest,lon_dest,BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOOD_DISTRICT_NAME,NEIGHBORHOODS_INCLUDED,CRA_NAME,PCT_IN_VILLAGE,AREA,lon_origin,lat_origin
530330001005-530330004013,530330001005,530330004013,47.7258,-122.35186999999999,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330006001,530330001005,530330006001,47.725120000000004,-122.33652,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330007001,530330001005,530330007001,47.71744,-122.2946,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330007002,530330001005,530330007002,47.71478,-122.29738,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330012003,530330001005,530330012003,47.70919,-122.32103000000001,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330012004,530330001005,530330012004,47.70752,-122.32643999999999,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330012005,530330001005,530330012005,47.7076,-122.33162,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330013003,530330001005,530330013003,47.70017,-122.34504,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330016003,530330001005,530330016003,47.693329999999996,-122.37795,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330019003,530330001005,530330019003,47.69321,-122.32836999999999,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330020001,530330001005,530330020001,47.69393,-122.30993000000001,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330024002,530330001005,530330024002,47.68444,-122.28483999999999,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330027004,530330001005,530330027004,47.68667,-122.34151000000001,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330036001,530330001005,530330036001,47.67712,-122.31976,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330043013,530330001005,530330043013,47.67196,-122.30361,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330053012,530330001005,530330053012,47.663090000000004,-122.31414,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330066002,530330001005,530330066002,47.6374,-122.32593,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330075002,530330001005,530330075002,47.617059999999995,-122.31416000000002,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330080022,530330001005,530330080022,47.61235,-122.34743,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330081002,530330001005,530330081002,47.60683,-122.3343,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330002002-530330001003,530330002002,530330001003,47.722809999999996,-122.28945,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330001005,530330002002,530330001005,47.72293,-122.29444,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330002002,530330002002,530330002002,47.721790000000006,-122.30283,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330007001,530330002002,530330007001,47.71744,-122.2946,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330008001,530330002002,530330008001,47.71539,-122.28715,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330012004,530330002002,530330012004,47.70752,-122.32643999999999,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330021003,530330002002,530330021003,47.69249,-122.30116000000001,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330053013,530330002002,530330053013,47.65981,-122.31486000000001,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330053023,530330002002,530330053023,47.65576,-122.30146,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002002-530330073002,530330002002,530330073002,47.61741,-122.33207,530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447000001,-122.30283,47.721790000000006
530330002003-530330049002,530330002003,530330049002,47.65202,-122.34965,530330002003,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,10661121.69,-122.31903,47.72793
530330002004-530330007001,530330002004,530330007001,47.71744,-122.2946,530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,4060633.307,-122.31018,47.72866
530330002004-530330011001,530330002004,530330011001,47.70928,-122.30572,530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,4060633.307,-122.31018,47.72866
530330002004-530330026003,530330002004,530330026003,47.677620000000005,-122.31200000000001,530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,4060633.307,-122.31018,47.72866
530330002004-530330043021,530330002004,530330043021,47.66493,-122.30515,530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,4060633.307,-122.31018,47.72866
530330002004-530330086002,530330002004,530330086002,47.60805,-122.3187,530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,4060633.307,-122.31018,47.72866
530330002005-530330001005,530330002005,530330001005,47.72293,-122.29444,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330002002,530330002005,530330002002,47.721790000000006,-122.30283,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330005001,530330002005,530330005001,47.72437,-122.36979,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
