BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330061004,Eastlake,Residential Urban Village,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330062001,Outside Villages,Outside Villages,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330062002,Outside Villages,Outside Villages,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330062003,Outside Villages,Outside Villages,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330063001,Outside Villages,Outside Villages,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",6,East
530330063002,Outside Villages,Outside Villages,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",6,East
530330063003,Outside Villages,Outside Villages,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",6,East
530330063004,Outside Villages,Outside Villages,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",6,East
530330064001,Outside Villages,Outside Villages,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330064002,Outside Villages,Outside Villages,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330064003,Outside Villages,Outside Villages,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330065001,Outside Villages,Outside Villages,"North Capitol Hill, Capitol Hill, North Broadway",6,East
530330065002,Capitol Hill,Urban Center Village,"North Capitol Hill, Capitol Hill, North Broadway",6,East
530330065003,Capitol Hill,Urban Center Village,"North Capitol Hill, Capitol Hill, North Broadway",6,East
530330066001,Outside Villages,Outside Villages,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330066002,Eastlake,Residential Urban Village,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330067001,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330067002,Uptown,Urban Center,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330067003,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330067004,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330068001,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330068002,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330069001,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330069002,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330069003,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330069004,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330070001,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330070002,Uptown,Urban Center,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330070003,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330070004,Upper Queen Anne,Residential Urban Village,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330070005,Uptown,Urban Center,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
