BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330105005,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330106001,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330106002,Morgan Junction,Residential Urban Village,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330106003,Morgan Junction,Residential Urban Village,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330106004,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330106005,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330106006,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330107011,Outside Villages,Outside Villages,"High Point, Delridge",2,Delridge Neighborhoods
530330107012,Outside Villages,Outside Villages,"High Point, Delridge",2,Delridge Neighborhoods
530330107021,Outside Villages,Outside Villages,"High Point, Delridge",2,Delridge Neighborhoods
530330107022,Outside Villages,Outside Villages,"High Point, Delridge",2,Delridge Neighborhoods
530330107023,Outside Villages,Outside Villages,"High Point, Delridge",2,Delridge Neighborhoods
530330108001,Outside Villages,Outside Villages,"Riverview, Delridge",2,Delridge Neighborhoods
530330108002,Outside Villages,Outside Villages,"Riverview, Delridge",2,Delridge Neighborhoods
530330108003,Outside Villages,Outside Villages,"Riverview, Delridge",2,Delridge Neighborhoods
530330109001,Greater Duwamish,Manufacturing Industrial,Georgetown,3,Greater Duwamish
530330109002,Greater Duwamish,Manufacturing Industrial,Georgetown,3,Greater Duwamish
530330110011,MLK at Holly St,Residential Urban Village,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330110012,MLK at Holly St,Residential Urban Village,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330110013,MLK at Holly St,Residential Urban Village,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330110021,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330110022,MLK at Holly St,Residential Urban Village,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330110023,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330111011,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330111012,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330111013,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330111014,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330111021,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330111022,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330111023,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330111024,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330112001,South Park,Residential Urban Village,South Park,3,Greater Duwamish
530330112002,Greater Duwamish,Manufacturing Industrial,South Park,3,Greater Duwamish
530330112003,South Park,Residential Urban Village,South Park,3,Greater Duwamish
530330113001,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330113002,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330113003,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330113004,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330113005,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330114011,Outside Villages,Outside Villages,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330114012,Westwood-Highland Park,Residential Urban Village,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330114013,Outside Villages,Outside Villages,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330114021,Westwood-Highland Park,Residential Urban Village,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330114022,Westwood-Highland Park,Residential Urban Village,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330114023,Westwood-Highland Park,Residential Urban Village,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330115001,Outside Villages,Outside Villages,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330115002,Outside Villages,Outside Villages,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330115003,Outside Villages,Outside Villages,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330116001,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116002,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116003,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116004,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116005,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116006,Outside Villages,Outside Villages,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330117001,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330117002,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330117003,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330117004,Outside Villages,Outside Villages,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330118001,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330118002,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330118003,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330118004,Rainier Beach,Residential Urban Village,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330118005,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330118006,Rainier Beach,Residential Urban Village,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330119001,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330119002,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330119003,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330119004,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330119005,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330120001,Outside Villages,Outside Villages,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330120002,Outside Villages,Outside Villages,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330120003,Outside Villages,Outside Villages,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330121001,Outside Villages,Outside Villages,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330121002,Outside Villages,Outside Villages,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330260011,Outside Villages,Outside Villages,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330264004,Outside Villages,Outside Villages,South Park,3,Greater Duwamish
530330264005,Outside Villages,Outside Villages,South Park,3,Greater Duwamish
530330265001,Outside Villages,Outside Villages,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530339901000,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
